Date,Adj Close,Close,High,Low,Open,Volume
2021-03-25,2743.943603515625,2754.0,2810.5,2724.5,2803.0,7523956
2021-03-26,2765.364990234375,2775.5,2798.5,2750.0,2778.0,3412618
2021-03-29,2816.1787109375,2826.5,2830.5,2752.919921875,2800.0,3207399
2021-03-30,2759.8857421875,2770.0,2845.0,2763.0,2845.0,3642145
2021-03-31,2763.870849609375,2774.0,2779.5859375,2750.06103515625,2778.0,6300959
2021-04-01,2705.584716796875,2715.5,2795.0,2710.5,2795.0,3573556
2021-04-06,2750.419921875,2760.5,2779.0,2736.0,2737.5,6949701
2021-04-07,2764.866943359375,2775.0,2806.5,2763.0,2771.0,3089986
2021-04-08,2848.062255859375,2858.5,2859.5,2773.5,2773.5,4622638
2021-04-09,2775.8271484375,2786.0,2837.5,2779.5,2832.0,5062166
2021-04-12,2778.317626953125,2788.5,2805.5,2764.0,2780.0,8016516
2021-04-13,2780.80908203125,2791.0,2792.5,2749.0,2773.0,3680859
2021-04-14,2774.332275390625,2784.5,2792.0,2765.0,2784.5,2854037
2021-04-15,2811.695556640625,2822.0,2827.0,2790.0,2790.0,4823017
2021-04-16,2890.4072265625,2901.0,2901.0,2812.0,2828.0,7600097
2021-04-19,2903.359375,2914.0,2914.5,2882.0,2897.5,7229501
2021-04-20,2682.66845703125,2692.5,2759.0,2662.5,2750.0,10347819
2021-04-21,2726.507568359375,2736.5,2757.0,2691.5,2705.5,5309295
2021-04-22,2732.98388671875,2743.0,2753.5,2713.927978515625,2714.0,3922349
2021-04-23,2724.0166015625,2734.0,2737.5,2705.5,2724.5,10641834
2021-04-26,2696.61767578125,2706.5,2732.0,2691.0,2730.5,3147263
2021-04-27,2687.650634765625,2697.5,2712.0,2689.0,2691.0,9170667
2021-04-28,2670.7119140625,2680.5,2724.785888671875,2661.0,2701.0,7837560
2021-04-29,2616.411376953125,2626.0,2694.0,2603.0,2680.0,10255457
2021-04-30,2672.206298828125,2682.0,2695.0,2629.5,2639.5,7502089
2021-05-04,2705.0859375,2715.0,2728.5,2680.0,2683.5,4230758
2021-05-05,2706.081787109375,2716.0,2726.5,2685.5,2708.5,3598199
2021-05-06,2792.765380859375,2803.0,2803.0,2731.5,2731.5,3838130
2021-05-07,2828.13525390625,2838.5,2865.5,2809.0,2814.5,4412631
2021-05-10,2814.684326171875,2825.0,2843.5,2790.5,2837.5,5512262
2021-05-11,2756.39794921875,2766.5,2817.5,2753.0,2811.0,4135216
