Date,Adj Close,Close,High,Low,Open,Volume
2021-03-24,1762.6817626953125,1764.0,1814.0,1720.0,1769.0,319858
2021-03-25,1769.6766357421875,1771.0,1771.0,1723.0,1755.0,374627
2021-03-26,1771.675048828125,1773.0,1801.8599853515625,1757.0,1772.0,328775
2021-03-29,1771.675048828125,1773.0,1802.0,1753.0,1773.0,293398
2021-03-30,1837.625732421875,1839.0,1849.0,1758.0,1758.0,396581
2021-03-31,1795.6572265625,1797.0,1864.0,1790.0,1843.0,532090
2021-04-01,1878.5950927734373,1880.0,1896.0,1795.0,1795.0,292025
2021-04-06,1879.594482421875,1881.0,1916.0,1867.5,1880.0,281408
2021-04-07,1901.0782470703125,1902.5,1917.5,1876.0,1882.5,171117
2021-04-08,1837.625732421875,1839.0,1918.0,1829.5,1918.0,500462
2021-04-09,1820.138916015625,1821.5,1851.0,1803.0,1838.0,1754607
2021-04-12,1811.1455078125,1812.5,1820.5,1780.0,1804.0,251254
2021-04-13,1826.6341552734373,1828.0,1866.5,1804.0,1816.5,264615
2021-04-14,1855.6124267578125,1857.0,1871.5,1807.9320068359373,1835.5,252648
2021-04-15,1832.1298828125,1833.5,1880.0,1830.5,1867.5,207923
2021-04-16,1858.610107421875,1860.0,1931.5,1852.5,1878.0,381269
2021-04-19,1880.0938720703125,1881.5,1913.0,1855.0,1878.5,328404
2021-04-20,1786.663818359375,1788.0,1891.5,1788.0,1874.0,308358
2021-04-21,1798.6549072265625,1800.0,1823.5,1777.5,1777.5,512219
2021-04-22,1880.0938720703125,1881.5,1910.5,1796.0,1804.5,687479
2021-04-23,1839.624267578125,1841.0,1859.2659912109373,1818.0,1849.5,475415
2021-04-26,1877.595947265625,1879.0,1895.5,1835.0,1835.0,387781
2021-04-27,1873.598876953125,1875.0,1888.0,1849.5,1879.5,239519
2021-04-28,1881.593017578125,1883.0,1894.5,1847.0,1847.0,167766
2021-04-29,1813.14404296875,1814.5,1872.0,1773.5,1798.0,6709397
2021-04-30,1808.14794921875,1809.5,1834.5,1778.0,1817.0,1162206
2021-05-04,1808.14794921875,1809.5,1809.5,1809.5,1809.5,0
2021-05-05,1867.103759765625,1868.5,1868.5,1811.800048828125,1841.5,567078
2021-05-06,1835.627197265625,1837.0,1887.5,1811.5,1874.5,439724
2021-05-07,1901.0782470703125,1902.5,1914.5,1838.5,1856.5,623329
2021-05-10,1868.6025390625,1870.0,1923.5,1847.5,1918.0,414192
2021-05-11,1748.6922607421875,1750.0,1870.0,1735.0,1829.0,749218
2021-05-12,1718.714599609375,1720.0,1776.0,1702.5,1764.5,655366
2021-05-13,1708.7220458984375,1710.0,1729.5,1667.0,1711.0,419344
2021-05-14,1724.710205078125,1726.0,1729.0679931640625,1672.0,1723.0,484350
2021-05-17,1648.267333984375,1649.5,1755.5,1635.5,1755.5,459401
2021-05-18,1722.2120361328125,1723.5,1726.5,1675.0,1685.0,585962
2021-05-19,1655.7618408203125,1657.0,1723.968994140625,1639.0,1710.5,549189
2021-05-20,1667.2530517578125,1668.5,1670.5,1621.0,1642.0,337288
2021-05-21,1686.7386474609375,1688.0,1695.5,1656.5,1656.5,278143
2021-05-24,1739.199462890625,1740.5,1741.0,1693.5,1722.5,339350
2021-05-25,1753.18896484375,1754.5,1788.0,1740.0,1766.5,372878
2021-05-26,1746.693603515625,1748.0,1767.0,1724.5,1761.5,491422
2021-05-27,1729.206787109375,1730.5,1769.5,1721.0,1748.0,578389
2021-05-28,1727.7080078125,1729.0,1751.5,1715.0,1746.5,372577
2021-06-01,1769.1767578125,1770.5,1783.5,1729.0,1746.0,670489
2021-06-02,1799.6541748046875,1801.0,1803.0,1758.5,1785.0,565020
2021-06-03,1714.717529296875,1716.0,1799.5,1716.0,1798.5,477668
2021-06-04,1743.1964111328125,1744.5,1757.0,1706.5,1747.5,311752
2021-06-07,1770.6759033203125,1772.0,1781.5,1732.5,1744.5,240248
2021-06-08,1778.6697998046875,1780.0,1807.0,1769.5,1807.0,189497
2021-06-09,1783.6661376953125,1785.0,1802.0,1763.5,1788.5,408178
2021-06-10,1738.6998291015625,1740.0,1783.5,1719.0,1750.0,327771
2021-06-11,1753.6884765625,1755.0,1760.0,1729.0,1731.0,273110
2021-06-14,1738.2001953125,1739.5,1793.0,1739.5,1793.0,270586
2021-06-15,1715.21728515625,1716.5,1746.5,1701.5,1701.5,340399
2021-06-16,1728.7071533203125,1730.0,1739.5,1692.5,1708.0,386559
2021-06-17,1761.6826171875,1763.0,1794.0,1715.5,1725.0,496231
2021-06-18,1678.74462890625,1680.0,1793.5,1669.0,1793.5,699884
2021-06-21,1689.7362060546875,1691.0,1695.0,1648.5,1675.5,408454
2021-06-22,1710.2210693359375,1711.5,1721.5,1679.5,1690.0,508467
2021-06-23,1708.7220458984375,1710.0,1728.0,1695.0,1701.0,305870
2021-06-24,1678.2449951171875,1679.5,1718.0,1667.0,1709.0,315638
2021-06-25,1688.7371826171875,1690.0,1702.5,1662.5,1702.0,354359
2021-06-28,1666.7535400390625,1668.0,1694.0,1665.5,1669.0,423210
2021-06-29,1616.291259765625,1617.5,1691.0,1602.8399658203125,1634.0,588007
2021-06-30,1607.298095703125,1608.5,1624.0,1567.5,1600.0,607810
2021-07-01,1691.7347412109375,1693.0,1693.0,1616.5,1616.5,745632
2021-07-02,1673.248779296875,1674.5,1706.0,1671.5,1674.5,386837
2021-07-05,1707.722900390625,1709.0,1716.0,1654.5,1671.0,324569
2021-07-06,1678.2449951171875,1679.5,1721.0,1672.5,1675.0,255572
2021-07-07,1648.267333984375,1649.5,1695.0,1644.5,1687.0,645048
2021-07-08,1621.28759765625,1622.5,1670.0,1598.0,1628.5,465427
2021-07-09,1673.748291015625,1675.0,1694.5,1630.0,1659.0,317271
2021-07-12,1622.286865234375,1623.5,1676.93994140625,1612.5,1650.0,280740
2021-07-13,1591.3099365234375,1592.5,1649.5,1589.625,1649.5,379549
2021-07-14,1576.8209228515625,1578.0,1593.5,1558.0,1567.0,397034
2021-07-15,1542.84619140625,1544.0,1594.0,1534.0,1574.0,533497
2021-07-16,1558.8343505859375,1560.0,1579.0,1541.0,1551.5,371537
2021-07-19,1477.8946533203125,1479.0,1539.0,1461.5,1538.5,511678
2021-07-20,1513.3680419921875,1514.5,1518.0,1464.5,1512.0,483182
2021-07-21,1613.29345703125,1614.5,1621.0,1526.8179931640625,1531.0,648691
2021-07-22,1639.773681640625,1641.0,1680.5,1622.0,1624.0,452524
2021-07-23,1651.26513671875,1652.5,1680.0,1644.5,1644.5,457947
2021-07-26,1678.74462890625,1680.0,1684.0,1626.5,1638.0,365691
2021-07-27,1664.7550048828125,1666.0,1682.5,1632.5,1646.5,353572
2021-07-28,1682.2421875,1683.5,1710.5,1663.0,1666.0,760149
2021-07-29,1644.2703857421875,1645.5,1698.5,1639.0,1688.0,256958
2021-07-30,1623.785888671875,1625.0,1637.5,1601.0,1630.0,369598
2021-08-02,1643.7706298828125,1645.0,1685.0,1638.5,1645.0,256743
2021-08-03,1635.277099609375,1636.5,1661.0,1624.5,1639.0,261306
2021-08-04,1633.2786865234375,1634.5,1670.0,1611.2230224609375,1670.0,236285
2021-08-05,1679.743896484375,1681.0,1682.5,1620.5,1672.5,280703
2021-08-06,1657.7603759765625,1659.0,1721.0,1643.0,1721.0,210320
2021-08-09,1664.7550048828125,1666.0,1673.0,1633.5,1644.0,836641
2021-08-10,1663.7557373046875,1665.0,1684.0,1651.0,1663.5,288623
2021-08-11,1665.75439453125,1667.0,1690.5,1656.5,1681.0,381883
2021-08-12,1659.259033203125,1660.5,1680.5,1644.0,1644.0,273551
2021-08-13,1673.748291015625,1675.0,1691.5,1667.0,1674.0,399382
2021-08-16,1621.28759765625,1622.5,1663.5,1615.0,1644.0,174554
2021-08-17,1608.29736328125,1609.5,1661.5,1594.0,1661.5,290200
2021-08-18,1640.77294921875,1642.0,1646.0,1597.0,1610.0,233440
2021-08-19,1618.289794921875,1619.5,1648.5,1592.0899658203125,1621.0,374071
2021-08-20,1635.776611328125,1637.0,1659.0,1613.5,1659.0,221959
2021-08-23,1638.7745361328125,1640.0,1668.31005859375,1616.0,1636.0,197866
2021-08-24,1678.2449951171875,1679.5,1690.5,1645.5,1652.5,310098
2021-08-25,1695.232177734375,1696.5,1710.0,1651.5,1675.0,273663
2021-08-26,1673.248779296875,1674.5,1691.0,1655.5,1655.5,323663
2021-08-27,1665.75439453125,1667.0,1686.5,1638.5,1681.0,175219
2021-08-31,1630.780517578125,1632.0,1679.0,1622.0,1673.5,520993
2021-09-01,1568.8267822265625,1570.0,1623.0,1515.0,1623.0,1606678
2021-09-02,1569.326416015625,1570.5,1603.0,1555.0,1583.0,416792
2021-09-03,1515.36669921875,1516.5,1576.0,1516.5,1561.0,976496
2021-09-06,1498.879150390625,1500.0,1532.8050537109375,1500.0,1527.0,269987
2021-09-07,1496.381103515625,1497.5,1513.0,1491.0,1501.5,353006
2021-09-08,1483.89013671875,1485.0,1506.0,1478.5,1489.5,675438
2021-09-09,1498.3795166015625,1499.5,1505.0,1470.5,1473.5,632498
2021-09-10,1505.8740234375,1507.0,1521.0,1472.0,1521.0,916508
2021-09-13,1570.32568359375,1571.5,1576.5,1530.0,1545.7679443359375,20453
2021-09-14,1627.2830810546875,1628.5,1681.0,1566.5,1566.5,859895
2021-09-15,1608.796875,1610.0,1634.5,1599.0,1625.5,620425
2021-09-16,1622.786376953125,1624.0,1643.0,1605.0,1620.0,323705
2021-09-17,1649.7662353515625,1651.0,1672.0,1636.5,1642.5,603874
2021-09-20,1671.250244140625,1672.5,1694.0,1609.0,1679.0,392423
2021-09-21,1695.232177734375,1696.5,1736.5,1677.300048828125,1683.0,998152
2021-09-22,1714.2181396484375,1715.5,1721.5,1675.0,1709.5,335935
2021-09-23,1703.725830078125,1705.0,1740.5,1691.0,1736.0,271423
2021-09-24,1710.7205810546875,1712.0,1718.5,1675.5,1678.0,317469
2021-09-27,1804.1507568359373,1805.5,1809.5,1725.0,1749.5,616300
