Date,Adj Close,Close,High,Low,Open,Volume
2021-03-25,11390.611328125,11400.0,11485.0,11300.0,11390.0,94461
2021-03-26,11490.52734375,11500.0,11510.0,11370.0,11460.0,81738
2021-03-29,11400.6005859375,11410.0,11605.0,11325.0,11550.0,122112
2021-03-30,11485.5302734375,11495.0,11555.0,11400.0,11450.0,105823
2021-03-31,11390.611328125,11400.0,11570.0,11350.0,11485.0,136988
2021-04-01,11580.455078125,11590.0,11640.0,11410.0,11455.0,138116
2021-04-06,11730.3310546875,11740.0,11795.0,11580.0,11690.0,107828
2021-04-07,11655.392578125,11665.0,11905.0,11605.0,11805.0,82634
2021-04-08,11940.1552734375,11950.0,12010.0,11755.0,11780.0,95913
2021-04-09,12229.9169921875,12240.0,12285.61328125,11965.0,12005.0,237235
2021-04-12,12010.099609375,12020.0,12335.0,12020.0,12230.0,227225
2021-04-13,12055.0625,12065.0,12120.0,11910.0,11930.0,169261
2021-04-14,11955.14453125,11965.0,12085.0,11965.0,12085.0,65135
2021-04-15,11995.111328125,12005.0,12060.0,11965.0,12025.0,96851
2021-04-16,12120.0078125,12130.0,12130.0,11890.0,11890.0,117481
2021-04-19,12174.9638671875,12185.0,12270.0,12090.0,12090.0,128508
2021-04-20,12144.9892578125,12155.0,12295.0,12120.0,12215.0,101681
2021-04-21,12184.95703125,12195.0,12205.0,11925.0,12180.0,82331
2021-04-22,12275.7314453125,12285.0,12310.0,12080.0,12140.0,97694
2021-04-23,12255.7470703125,12265.0,12320.0,12215.0,12250.0,69620
2021-04-26,12270.734375,12280.0,12360.0,12170.0,12250.0,68584
2021-04-27,12190.794921875,12200.0,12335.0,12135.0,12250.0,91297
2021-04-28,12055.8984375,12065.0,12190.0,11995.0,12065.0,96531
2021-04-29,11906.01171875,11915.0,12140.0,11870.0,12015.0,71989
2021-04-30,11806.0869140625,11815.0,11930.0,11780.0,11845.0,138065
2021-05-04,11761.12109375,11770.0,11905.0,11735.0,11880.0,184259
2021-05-05,12020.9248046875,12030.0,12070.0,11760.0,11790.0,65914
