Date,Adj Close,Close,High,Low,Open,Volume
2021-03-25,1756.6109619140625,1758.0,1769.5,1736.5,1758.0,2629523
2021-03-26,1772.0987548828125,1773.5,1787.5,1767.5,1779.5,627589
2021-03-29,1751.115234375,1752.5,1787.0,1748.0,1774.5,524252
2021-03-30,1787.0867919921875,1788.5,1792.0,1757.5,1757.5,641670
2021-03-31,1775.5958251953125,1777.0,1786.5,1763.0,1786.5,1113996
2021-04-01,1811.0679931640625,1812.5,1840.5,1786.0,1792.5,506462
2021-04-06,1839.0458984375,1840.5,1861.0,1827.0,1835.5,965568
2021-04-07,1828.5540771484373,1830.0,1852.5,1815.0,1840.5,1125959
2021-04-08,1813.0662841796875,1814.5,1841.0,1794.5,1833.0,699962
2021-04-09,1852.5352783203125,1854.0,1872.5,1826.0,1826.5,634536
2021-04-12,1842.0433349609373,1843.5,1854.0,1816.5,1849.5,569620
2021-04-13,1892.50341796875,1894.0,1912.0,1860.5,1860.5,722030
2021-04-14,1906.9920654296875,1908.5,1931.0,1892.5,1896.0,885762
2021-04-15,1944.9620361328125,1946.5,1946.5,1910.0,1920.5,550367
2021-04-16,1982.4322509765625,1984.0,1986.5,1947.0,1952.0,1051150
2021-04-19,1943.463134765625,1945.0,1996.0,1944.5,1980.0,1136817
2021-04-20,1946.4609375,1948.0,1974.0,1929.0,1953.0,1613692
2021-04-21,1913.487060546875,1915.0,1958.0,1876.5,1958.0,1160710
2021-04-22,1939.46630859375,1941.0,1942.5,1916.0,1932.5,837633
2021-04-23,1948.958984375,1950.5,1952.0,1904.0,1931.0,648832
2021-04-26,2003.4158935546875,2005.0,2006.0,1949.0,1949.0,641326
2021-04-27,1973.93896484375,1975.5,2015.487060546875,1965.5,2000.0,1089712
2021-04-28,1940.465576171875,1942.0,1982.0,1936.5,1972.5,667163
2021-04-29,1957.95166015625,1959.5,1985.0,1922.5,1922.5,491347
2021-04-30,1915.4852294921875,1917.0,1971.0,1913.0,1963.0,783702
2021-05-04,1851.036376953125,1852.5,1935.0,1847.0,1918.5,872065
2021-05-05,1900.4971923828125,1902.0,1908.5,1851.0,1861.0,860403
2021-05-06,1892.50341796875,1894.0,1912.5,1863.5,1905.5,1480907
2021-05-07,1927.4759521484373,1929.0,1929.0,1900.0,1905.5,527181
2021-05-10,1935.9691162109373,1937.5,1940.5,1911.5,1940.5,421961
