threshold_pct,max_setup_hold_bars,ctx_dist_ema200,ctx_ema50_slope,ctx_supertrend,ctx_vol_z,ctx_bb_width_ratio,ctx_atr_pct,ctx_rsi,ctx_cmo,ctx_williams_r,ctx_vol_ratio,ctx_vol_sig,ctx_setup_bars,entry_threshold_pct,trades,win_rate,avg_return,avg_hold_bars,return_per_bar,tp_mult,sl_mult,tp_trail_mult,sl_trail_mult,max_holding_bars,active_trail_sl,time_decay_sl
0.02,1,-0.422506,-0.051139,0.0,2.061184,0.401473,0.077587,36.536515,-22.893886,-69.418039,1.056061,0.265979,1.0,0.02,485,71.96,3.5907,11.98,1.102422,1.4,5.0,0.01,5.5,20,True,False
0.02,2,-0.398373,-0.048095,0.0,1.902026,0.376602,0.072112,36.263566,-24.058551,-70.130264,1.057829,0.269492,1.177966,0.02,590,73.9,2.854,10.17,0.97043,1.1,4.75,0.09999999999999999,5.5,20,True,False
0.02,3,-0.387508,-0.046135,0.0,1.861651,0.369091,0.070403,36.383553,-23.953366,-69.743244,1.058971,0.261654,1.383459,0.02,665,74.89,2.8686,9.85,0.977339,1.1,4.75,0.01,4.75,20,True,False
0.02,4,-0.387397,-0.045277,0.0,1.841343,0.364009,0.069778,36.378821,-24.232803,-69.772739,1.054687,0.260623,1.535411,0.02,706,75.64,2.8304,9.42,1.010055,1.0,4.75,0.01,6.0,20,True,False
0.02,5,-0.381338,-0.044414,0.0,1.819994,0.358071,0.068865,36.424121,-24.391929,-69.856109,1.056925,0.260929,1.65847,0.02,732,73.77,2.682,9.91,0.978777,1.1,4.75,0.01,5.75,20,True,False
0.02,6,-0.377809,-0.043995,0.0,1.80587,0.355103,0.068894,36.420821,-24.609972,-69.951006,1.058425,0.264706,1.751337,0.02,748,72.06,2.8887,9.14,0.96787,1.1,5.0,0.03,5.75,17,True,False
0.02,7,-0.380697,-0.043914,0.0,1.790143,0.353234,0.068691,36.47806,-24.537892,-69.802267,1.057283,0.263364,1.881356,0.02,767,71.32,2.7897,8.89,0.902614,1.1,4.25,0.06999999999999999,5.25,16,True,False
0.02,8,-0.379986,-0.043416,0.0,1.748154,0.349027,0.06833,36.515093,-24.758078,-69.939933,1.05347,0.257614,2.044416,0.02,788,70.94,2.6586,8.96,0.911081,1.1,5.0,0.06999999999999999,5.25,16,True,False
0.02,9,-0.377359,-0.042994,0.0,1.741224,0.348068,0.068074,36.563257,-24.811734,-69.879152,1.056241,0.259724,2.122961,0.02,797,71.39,2.3165,9.1,0.919196,1.0,5.0,0.02,5.75,18,True,False
0.02,11,-0.374635,-0.0424,0.0,1.717632,0.343493,0.067496,36.623295,-24.962338,-69.934334,1.054001,0.259214,2.298526,0.02,814,72.73,2.3697,9.95,0.914842,1.1,4.75,0.02,5.75,20,True,False
0.02,10,-0.376451,-0.042702,0.0,1.727274,0.346163,0.067798,36.625582,-24.805875,-69.750905,1.056145,0.26087,2.201242,0.02,805,68.57,2.7592,8.96,0.855782,1.3,5.0,0.06999999999999999,6.0,13,True,False
0.02,12,-0.372948,-0.042116,0.0,1.715879,0.341831,0.067236,36.615025,-25.145767,-70.075931,1.058486,0.25944,2.381242,0.02,821,70.89,2.5001,8.86,0.892143,1.1,4.5,0.01,5.25,16,True,False
0.03,1,-0.477073,-0.056165,0.0,2.326197,0.43951,0.085359,36.114441,-24.524185,-71.16523,1.102844,0.297376,1.0,0.03,343,72.01,4.2535,10.8,1.129582,1.4,4.5,0.12,4.75,17,True,False
0.03,2,-0.43919,-0.052171,0.0,2.150929,0.409739,0.079269,35.74763,-26.184261,-71.658599,1.100081,0.310185,1.206019,0.03,432,73.61,3.6805,11.99,0.981508,1.4,4.25,0.15000000000000002,5.75,20,True,False
0.02,13,-0.374178,-0.041949,0.0,1.711781,0.340805,0.067097,36.612132,-25.331803,-70.239067,1.058594,0.259976,2.458283,0.02,827,70.62,2.461,8.93,0.891854,1.1,5.0,0.03,5.5,16,True,False
0.03,3,-0.426708,-0.049576,0.0,2.037115,0.392333,0.075965,35.772294,-26.517644,-71.514051,1.109723,0.298872,1.543233,0.03,532,73.87,3.3584,10.99,1.030742,1.3,5.0,0.03,5.5,19,True,False
0.02,14,-0.372653,-0.041727,0.0,1.701761,0.339481,0.066929,36.634716,-25.426694,-70.394518,1.057662,0.259304,2.541417,0.02,833,73.23,2.2313,9.51,0.912948,1.0,5.0,0.01,5.5,20,True,False
0.02,15,-0.371498,-0.041431,0.0,1.693742,0.336951,0.066618,36.621529,-25.684634,-70.627016,1.063561,0.260973,2.689205,0.02,843,68.09,2.3395,7.67,0.83795,1.1,4.75,0.01,6.0,12,True,False
0.03,4,-0.421345,-0.047693,0.0,1.961976,0.381005,0.073929,35.71849,-27.043883,-71.680079,1.098711,0.293718,1.780985,0.03,589,73.17,3.3119,8.5,1.024162,1.1,4.75,0.03,5.25,15,True,False
0.03,5,-0.412931,-0.046022,0.0,1.910366,0.370236,0.072304,35.919014,-27.001041,-71.391575,1.091241,0.288217,1.980892,0.03,628,73.09,3.048,8.39,0.93247,1.0,4.5,0.01,4.0,16,True,False
0.03,6,-0.405504,-0.045209,0.0,1.896817,0.363856,0.071907,35.956457,-27.234704,-71.665977,1.100973,0.290769,2.116923,0.03,650,73.38,2.8447,8.78,0.938894,1.0,5.0,0.01,4.5,18,True,False
0.03,7,-0.406235,-0.044917,0.0,1.866941,0.360869,0.071389,36.008297,-27.273488,-71.612408,1.103878,0.294643,2.276786,0.03,672,72.62,2.3028,7.61,0.868639,0.8,4.25,0.02,5.0,18,True,False
0.03,8,-0.401111,-0.044034,0.0,1.825026,0.355527,0.070551,36.083723,-27.474376,-71.60584,1.104973,0.292507,2.458213,0.03,694,70.17,2.806,10.75,0.915656,1.3,5.0,0.01,6.0,18,True,False
0.03,9,-0.397528,-0.043532,0.0,1.809139,0.35323,0.0701,36.12494,-27.517569,-71.576268,1.105032,0.293201,2.569405,0.03,706,73.37,2.41,9.39,0.890838,1.0,4.25,0.03,5.75,20,True,False
0.03,10,-0.395241,-0.043176,0.0,1.797957,0.350652,0.069737,36.143112,-27.656126,-71.594743,1.102423,0.291492,2.683403,0.03,717,73.08,2.3568,9.44,0.913166,1.0,4.75,0.01,5.75,20,True,False
0.03,11,-0.393594,-0.042799,0.0,1.787333,0.347034,0.069348,36.109887,-27.958494,-71.894389,1.101364,0.290411,2.831507,0.03,730,72.88,2.3284,9.33,0.886433,1.0,4.5,0.02,5.0,20,True,False
0.04,1,-0.539591,-0.063052,0.0,2.557525,0.485741,0.094368,35.79246,-25.764855,-71.917287,1.123767,0.3125,1.0,0.04,240,70.0,4.4163,7.11,1.265152,1.3,4.5,0.06999999999999999,5.25,9,True,False
0.03,12,-0.390615,-0.042386,0.0,1.779917,0.344241,0.068896,36.08613,-28.202087,-72.039338,1.108507,0.291892,2.955405,0.03,740,71.35,2.3862,8.94,0.845187,1.0,4.25,0.08,6.0,18,True,False
0.03,13,-0.391802,-0.042222,0.0,1.775235,0.343376,0.068784,36.0972,-28.332325,-72.200887,1.108591,0.292617,3.022819,0.03,745,70.2,2.659,7.96,0.851316,1.1,4.5,0.03,5.0,13,True,False
0.03,14,-0.389045,-0.041899,0.0,1.761873,0.340788,0.068384,36.103609,-28.522791,-72.382082,1.107133,0.292165,3.139442,0.03,753,70.92,2.4405,9.12,0.882953,1.1,4.75,0.01,5.5,17,True,False
0.04,2,-0.476349,-0.056605,0.0,2.34196,0.437464,0.08478,35.259409,-28.111757,-72.743951,1.138507,0.331269,1.256966,0.04,323,74.3,4.0287,11.85,1.192783,1.4,5.0,0.01,6.0,20,True,False
